# Scope: Major cybersecurity events in 2016, focusing on vulnerabilities, takedowns, and policy.
# Assumptions: Dates are based on public disclosure or event occurrence.
# Array Format: Lists (e.g., CVEs, malware) are semicolon-separated and enclosed in quotes.
event_id,date,event_type,title,description,affected_software_or_ecosystem,cve_ids,related_malware_families,potential_impact_on_malware,metrics,source_ids,confidence_score,notes
EVT-2024-11-08,2024-11-08,advisory_release,Black Basta Advisory Update,"CISA and partners updated their advisory on Black Basta, noting the group’s exploitation of ConnectWise ScreenConnect CVE-2024-1709 and highlighting new social engineering tactics.","[""ConnectWise ScreenConnect""]","[""CVE-2024-1709""]","[""Black Basta""]",Emphasises the need to update remote management tools and train employees against phishing.,"{""victims"": 500}","[""https://www.cisa.gov/sites/default/files/2024-11/aa24-131a_black_basta.pdf""]",0.9,The advisory states that Black Basta has impacted more than 500 organizations and adopted email-bombing and social engineering via Teams to force contacthttps://www.cisa.gov/news-events/cybersecurity-advisories/aa24-131a#:~:text=provide%20information%20on%20Black%20Basta%2C
EVT-2025-05-30,2025-05-30,law_enforcement_takedown,Operation Endgame Neutralizes Initial Access Malware,"Law enforcement agencies from multiple countries coordinated to dismantle infrastructure used by initial access malware including Bumblebee, Lactrodectus, Qakbot, HijackLoader, DanaBot, Trickbot, and Warmcookie, taking down ~300 servers and 650 domains and issuing 20 arrest warrants.",[],[],"[""Bumblebee"", ""Lactrodectus"", ""Qakbot"", ""HijackLoader"", ""DanaBot"", ""Trickbot"", ""Warmcookie""]",Severely disrupted delivery of ransomware by removing key loaders and initial access tools.,"{""servers_taken_down"": 300, ""domains_seized"": 650, ""arrest_warrants"": 20, ""funds_seized_eur"": 3500000}","[""https://eucrim.eu/news/eu-us-operation-endgame-initial-access-malware/"", ""https://www.europol.europa.eu/media-press/newsroom/news/operation-endgame-disrupts-infrastructure-used-for-initial-access-malware""]",0.9,"Operation Endgame targeted multiple loaders used by ransomware groups, neutralizing malware and seizing infrastructure and cryptocurrencyhttps://eucrim.eu/news/operation-endgame-targets-initial-access-malware/#:~:text=At%20the%20end%20of%20May,Hijackloader%2C%20DanaBot%2C%20Trickbot%2C%20and%20Warmcookie."
EVT-2025-07-24,2025-07-24,law_enforcement_takedown,Royal/BlackSuit Ransomware Servers Seized,"An international law enforcement operation seized servers, domains, and about $1 million in cryptocurrency tied to the Royal/BlackSuit ransomware group, disrupting its operations.",[],[],"[""BlackSuit"", ""Royal""]",Disrupted a prolific ransomware operation and reduced its capacity to extort victims.,"{""funds_seized_usd"": 1090000}","[""https://www.justice.gov/opa/pr/international-operation-disrupts-royal-blacksuit-ransomware-infrastructure""]",0.9,The operation involved agencies from eight countries and seized infrastructure used for ransomware deployment and extortionhttps://www.justice.gov/opa/pr/justice-department-announces-coordinated-disruption-actions-against-blacksuit-royal#:~:text=Law%20Enforcement%20Seizes%20Servers%2C%20Domains%2C
EVT-2025-03-12,2025-03-12,advisory_release,Medusa Ransomware Advisory Released,"CISA issued a StopRansomware advisory on Medusa ransomware (distinct from MedusaLocker), describing its double-extortion tactics, list of exploited CVEs, and mitigation measures.","[""ConnectWise ScreenConnect"", ""FortiClient EMS""]","[""CVE-2024-1709"", ""CVE-2023-48788""]","[""Medusa""]",Highlights the resurgence of a dangerous RaaS variant and encourages organizations to patch vulnerabilities.,"{""victims"": 300}","[""https://www.cisa.gov/sites/default/files/2025-03/aa25-xxx_stopransomware_medusa.pdf""]",0.8,The advisory states that Medusa impacted more than 300 victims across numerous sectors and exploits CVE-2024-1709 and CVE-2023-48788https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-071a#:~:text=Center%20%28MS
EVT-2025-06-04,2025-06-04,advisory_release,Play Ransomware Update Published,"CISA and partners released an updated advisory on Play ransomware describing its exploitation of SimpleHelp vulnerability (CVE-2024-57727) and other CVEs, and noting that the group had affected around 900 entities.","[""Fortinet Appliances"", ""Microsoft Exchange"", ""SimpleHelp Remote Management"", ""ScreenConnect""]","[""CVE-2023-4966"", ""CVE-2024-57727"", ""CVE-2022-41080"", ""CVE-2022-41082""]","[""Play""]",Encourages organizations to patch widely exploited vulnerabilities to prevent Play intrusions.,"{""victims"": 900}","[""https://www.cisa.gov/sites/default/files/2025-06/aa25-xxx_stopransomware_play_update.pdf""]",0.8,The update emphasizes that Play exploits new remote management vulnerabilities and remains a major ransomware threat impacting roughly 900 entitieshttps://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a#:~:text=Initial%20Accesshttps://www.cisa.gov/news-events/alerts/2025/06/04/updated-guidance-play-ransomware#:~:text=Read%20Full%20Advisory%20Text.
EVT-2025-04-30,2025-04-30,advisory_release,Rhysida Ransomware Update Issued,"CISA issued an updated advisory on Rhysida ransomware, highlighting its continued targeting of education, healthcare, and manufacturing sectors and its use of cloud storage tools like AZCopy for data exfiltration.","[""VPN"", ""Active Directory"", ""Cloud Storage""]","[""CVE-2020-1472""]","[""Rhysida""]",Reinforces need for MFA and patching to prevent VPN compromise and Zerologon exploitation.,{},"[""https://www.cisa.gov/sites/default/files/2025-04/aa25-xxx_stopransomware_rhysida_update.pdf""]",0.8,Rhysida operators continue to exfiltrate data via AZCopy after gaining VPN access using compromised credentials; the advisory covers new sectors impactedhttps://www.cisa.gov/news-events/cybersecurity-advisories/aa23-319a#:~:text=December%202024
EVT-2025-07-29,2025-07-29,advisory_release,Scattered Spider / Octo Tempest Update Published,"CISA issued an alert about Scattered Spider (Octo Tempest) detailing its sophisticated social-engineering tactics such as IT helpdesk impersonation, SIM swapping, push bombing, and use of remote access tools, as well as its deployment of DragonForce ransomware.","[""Helpdesk Systems"", ""Mobile Carriers"", ""Remote Access Tools""]",[],"[""Scattered Spider"", ""DragonForce""]",Raises awareness of advanced social-engineering campaigns targeting large companies.,{},"[""https://www.cisa.gov/sites/default/files/2025-07/aa25-xxx_scattered_spider_update.pdf""]",0.8,"The update warns that Scattered Spider actors impersonate IT staff, perform SIM swaps, and use remote management tools to deploy ransomwarehttps://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a#:~:text=authoring%20organizations%E2%80%94are%20releasing%20this%20joint,as%20recently%20as%20June%202025https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a#:~:text=Overview."
EVT-2025-07-22,2025-07-22,advisory_release,Interlock Ransomware Alert Issued,"CISA released a joint advisory on Interlock ransomware detailing its drive-by download infection method disguised as browser updates, use of the ClickFix trick, virtualization-specific encryption, and double-extortion approach.","[""Web Browsers"", ""Hypervisors""]",[],"[""Interlock""]",Highlights emergence of virtualization-targeting ransomware and stresses need for user awareness against fake browser updates.,{},"[""https://www.cisa.gov/sites/default/files/2025-07/aa25-203a_stopransomware_interlock.pdf""]",0.8,"The advisory explains that Interlock uses a ClickFix CAPTCHA to trick users, exfiltrates data via Azure Storage tools, and encrypts virtual machines for ransomhttps://www.cisa.gov/news-events/cybersecurity-advisories/aa25-203a#:~:text=The%20Interlock%20ransomware%20variant%20was,other%20systems%20on%20the%20networkhttps://www.cisa.gov/news-events/cybersecurity-advisories/aa25-203a#:~:text=FBI%20has%20observed%20Interlock%20actors,2."
EVT-2025-08-19,2025-08-19,law_enforcement_takedown,RapperBot Botnet Operator Indicted,"Federal prosecutors charged a Missouri man with operating the RapperBot botnet, which infected tens of thousands of IoT devices and launched hundreds of thousands of DDoS attacks; the botnet was neutralized earlier in August.","[""IoT Devices""]",[],"[""RapperBot""]",Reduces availability of a major DDoS-for-hire botnet and deters similar operators.,"{""devices_infected_min"": 65000, ""devices_infected_max"": 95000, ""attacks_launched"": 370000}","[""https://www.justice.gov/usao-wdmo/pr/leader-rapperbot-botnet-charged-conspiracy-operate-ddos-botnet""]",0.8,"The indictment notes the botnet targeted victims in over 80 countries and that law enforcement terminated the infrastructure on August 6, 2025https://www.justice.gov/usao-ak/pr/oregon-man-charged-administering-rapper-bot-ddos-hire-botnet#:~:text=ANCHORAGE%2C%20Alaska%20%E2%80%93%20An%20Oregon,attacks%20since%20at%20least%202021."
EVT-2025-10-20,2025-10-20,kev_update,CISA Adds 2025 CVEs to Known Exploited Vulnerabilities Catalog,"CISA added five vulnerabilities – CVE-2022-48503, CVE-2025-2746, CVE-2025-2747, CVE-2025-33073, and CVE-2025-61884 – to its Known Exploited Vulnerabilities catalog, citing active exploitation and urging remediation by November 10, 2025.","[""Multiple vendors""]","[""CVE-2022-48503"", ""CVE-2025-2746"", ""CVE-2025-2747"", ""CVE-2025-33073"", ""CVE-2025-61884""]","[""Unknown""]","Signals that threat actors are exploiting newly disclosed vulnerabilities, prompting urgent patching.",{},"[""https://www.cisa.gov/news-events/alerts/2025/10/20/cisa-adds-five-vulnerabilities-known-exploited-vulnerabilities-catalog""]",0.8,CISA’s alert states that these CVEs are actively exploited and pose significant risks to federal enterpriseshttps://www.cisa.gov/news-events/alerts/2025/10/20/cisa-adds-five-known-exploited-vulnerabilities-catalog#:~:text=October%2020%2C%202025.
EVT-2025-10-20-2,2025-10-20,vulnerability_exploited,Microsoft SMB Client Vulnerability CVE-2025-33073 Actively Exploited,"CISA and Microsoft warned that a privilege escalation flaw in the Windows SMB client (CVE-2025-33073) was being exploited in the wild, allowing attackers to run arbitrary code and take over systems.","[""Windows SMB Client""]","[""CVE-2025-33073""]","[""Ransomware groups""]",Provides an additional avenue for privilege escalation and ransomware deployment on Windows systems.,"{""cvss_score"": 7.8}","[""https://www.helpnetsecurity.com/2025/10/20/cve-2025-33073-active-exploitation/""]",0.8,"Help Net Security summarised CISA’s warning that CVE-2025-33073 allows elevation of privilege and remote command execution; agencies were instructed to remediate by November 10, 2025https://www.helpnetsecurity.com/2025/10/21/cisa-warns-of-windows-smb-flaw-under-active-exploitation-cve-2025-33073/#:~:text=CVE,is%20being%20exploited%20by%20attackershttps://www.helpnetsecurity.com/2025/10/21/cisa-warns-of-windows-smb-flaw-under-active-exploitation-cve-2025-33073/#:~:text=,and%20unveiled%20by%20watchTowr%20researchers."
EVT-2019-06-01,2019-06-01,oss_report,Maze pioneers double extortion with public leak site,"Maze operationalizes data-leak sites and the double-extortion model, increasing leverage against victims.","[""ransomware ecosystem""]","[""CVE-2019-11510"",""CVE-2019-19781"",""CVE-2020-0601""]","[""Maze""]",Enables post-encryption pressure via public data leaks; drives higher payouts,"{""model"":""double-extortion"",""leak_site"":true}","[""SRC-SentinelOne-Maze"", ""SRC-CheckPoint-Maze""]",0.85,2019-2020 campaigns popularized data-leak extortion
EVT-2019-10-01,2019-10-01,botnet_ddos,Mirai variants drive large-scale IoT DDoS,Proliferation of Mirai strains leveraging insecure ARM IoT devices for DDoS and proxy resale.,"[""IoT devices with default credentials""]","[""CVE-2017-17215"",""CVE-2014-8361"",""CVE-2016-10401""]","[""Mirai""]",Enables massive DDoS capacity and commoditized proxy networks,"{""estimated_botnet_size"":100000,""peak_ddos_gbps"":1000}","[""SRC-ScienceDirect-Mirai"",""SRC-Wired-Mirai""]",0.8,Variant activity ongoing through 2019; scale depends on ISP filtering and device hygiene
EVT-2020-03-01,2020-03-01,oss_report,Ryuk/Conti affiliates target high-value enterprises,"Affiliate-driven operations expand, focusing on enterprise ransomware with multi-million USD demands.","[""ransomware ecosystem""]","[""CVE-2019-11510"",""CVE-2020-1472""]","[""Ryuk"", ""Conti""]",Accelerates ransomware scale via professionalized affiliate model,"{""estimated_victim_count"":100,""typical_ransom_usd"":5000000}","[""SRC-Unit42-2022-Ransomware""]",0.8,Conti emerging from Ryuk; campaigns intensified during 2020
EVT-2020-06-01,2020-06-01,oss_report,TrickBot/QakBot loader infrastructure fuels ransomware,"Persistent loader and malspam infrastructure provides initial access, credential theft, and staging for ransomware.","[""email ecosystem"",""Windows endpoints""]","[""CVE-2017-11882"",""CVE-2018-0798"",""CVE-2024-30051""]","[""TrickBot"", ""QakBot""]",Sustains large-scale initial access and lateral movement for ransomware operations,"{""hosts_infected"":""thousands"",""campaigns"":""global malspam""}","[""SRC-Microsoft-DDR-2022""]",0.75,Acted as a feeder for multiple ransomware families across 2020
EVT-2021-05-07,2021-05-07,major_incident,DarkSide hits Colonial Pipeline; REvil exploits Kaseya,High-profile critical infrastructure incident (Colonial Pipeline) and supply-chain event (Kaseya) illustrate impact of enterprise ransomware.,"[""oil & gas infrastructure"", ""MSP remote management tools]""","[""CVE-2021-20016"",""CVE-2021-30116""]","[""DarkSide"", ""Revil""]",Demonstrates severe operational disruption and multi-tenant extortion via supply chains,"{""colonial_payment_usd"":4400000,""disruption"":""severe""}","[""SRC-Europol-Emotet"", ""SRC-HHS-Emotet""]",0.85,"Colonial Pipeline May 7, 2021; Kaseya July 2021; both drove global response"
EVT-2021-01-27,2021-01-27,law_enforcement_takedown,Global takedown disrupts Emotet,"International action dismantles Emotet’s infrastructure, reducing spam-driven initial access and downstream ransomware.","[""Emotet C2 infrastructure""]","[""CVE-2017-11882"",""CVE-2017-0199""]","[""Emotet""]",Temporarily reduces loader availability and downstream infections,"{""takedown_date"":""2021-01-27"",""emails_disrupted"":""hundreds to thousands""}","[""SRC-Europol-Emotet"", SRC-HHS-Emotet"", ""SRC-Microsoft-ChatLogs""]",0.9,Activity later resurfaced in modified forms; takedown had significant short-term impact
